ID,vehID,Delay,RedArrival,SplitFailure,SignalID,ApproachDirection,TravelDirection,ETT,TravelTime,ExitStatus,Day,Stops,Uturn
2330,0951fd986e3e5a9c1fc7f6b6a011a76b06f888e3,2.89800,No,No,1037,Westbound,Straight,9.587,12.485,NULL,3,0,No
2331,097cb4913ad2ec04d131dd909a71ce8ae9498f0d,106.03300,NULL,NULL,1037,Northbound,Straight,7.456,113.489,NULL,3,1,No
2332,0a46944bc89b25a3d9cec228b6a35376fda2f4ea,186.64200,Yes,No,1037,Northbound,Straight,7.456,194.098,NULL,3,1,No
2333,0b04727e4ecae3472f8bd6e0c08ae1629e82bb8c,2.20200,No,No,1037,Westbound,Straight,9.587,11.789,NULL,3,0,No
2334,0c652d554b02109328d16bba5980f6d597f8dc21,44.33500,Yes,No,1037,Westbound,Straight,9.587,53.922,NULL,3,1,No
2335,0c913457e1659c2c456142782faaad53c5ac8d59,52.06000,Yes,No,1037,Westbound,Straight,9.587,61.647,NULL,3,1,No
2336,0ceefe52bfcc77ddbdb473c39f05b33415cc183d,45.96100,Yes,No,1037,Eastbound,Straight,9.587,55.548,NULL,3,1,No
2337,0d40dbc727e32dd5f7f0147f02f430d20cc2cfc8,23.58500,No,No,1037,Eastbound,Straight,9.587,33.172,NULL,3,1,No
2338,0dc381b40fc7bfefde7f2bf562fb9e3114aab9a3,66.17500,Yes,No,1037,Westbound,Right,9.587,75.762,NULL,3,1,No
2339,0e258476a81269c4baaaab47b42342e2801a61ac,45.81700,Yes,No,1037,Westbound,Straight,9.587,55.404,NULL,3,1,No
2340,0e4ee55eff0c12379de96d54b0d3260604693b22,97.99800,Yes,No,1037,Westbound,Straight,9.587,107.585,NULL,3,1,No
2341,0e7d90bed4fbd6f97d6b9adfad224d454e39ccc1,41.86100,Yes,No,1037,Westbound,Straight,9.587,51.448,NULL,3,1,No
2342,0ebd688d22aa121efd1033201c64ba9f5b64dbbd,1.75900,NULL,NULL,1037,Westbound,Straight,9.587,11.346,NULL,3,0,No
2343,0ebe9eb8e9d8ea6a77e370f0d36529cb661b0b65,46.97500,Yes,No,1037,Northbound,Right,7.456,54.431,NULL,3,1,No
2344,0eff7c98d1f1a9df58d3ccf2765a27724095142e,7.29900,Yes,No,1037,Westbound,Right,9.587,16.886,NULL,3,0,No
2345,0f589d2e4bbf49ea451026045360ee2a80c83651,32.55100,Yes,No,1037,Westbound,Right,9.587,42.138,NULL,3,1,No
2346,0f62f490392655f26fb67261160faf9cb8808cd7,26.51900,NULL,NULL,1037,Westbound,Straight,9.587,36.106,NULL,3,1,No
2347,0f79ec02fd04b620af3e4fef2e5446b4564ecf64,2.43700,No,No,1037,Westbound,Straight,9.587,12.024,NULL,3,0,No
2348,0f7d4badc3ba3a418af2e4d662836751220efcb1,18.85200,Yes,No,1037,Northbound,Left,7.456,26.308,NULL,3,1,No
2349,0fa5af329a736192990d5f33c09b9545b044b80b,37.79400,Yes,No,1037,Eastbound,Straight,9.587,47.381,NULL,3,1,No
2350,0fd7efeacc86c2f2ab855cfde32950fca2f003a3,120.11900,Yes,No,1037,Northbound,Straight,7.456,127.575,NULL,3,1,No
2351,0fecac3018d028e1eb36489c0222192da25ca9e6,88.60100,NULL,NULL,1037,Northbound,Left,7.456,96.057,NULL,3,1,No
2352,103cac8c5d71e5803a6623598ef603445f1b0032,101.00800,No,No,1037,Westbound,Straight,9.587,110.595,NULL,3,1,No
2353,10687e2af23658f357ed360eb0c181a2f00e5254,0.49600,Yes,No,1037,Northbound,Straight,7.456,7.952,NULL,3,0,No
2354,10e460896b714b4621931eff956387592d39c56b,8.67400,No,No,1037,Eastbound,Right,9.587,18.261,NULL,3,0,No
2355,10ea41ee871fb490a23173c34f16fe85cfa14aae,10.80000,No,No,1037,Westbound,Straight,9.587,20.387,NULL,3,0,No
2356,11aa82d01826e74cd996ffda6830355d50446bda,1.82000,No,No,1037,Westbound,Straight,9.587,11.407,NULL,3,0,No
2357,122bac39d0710536d4405146afb2e069dae6f855,53.98500,Yes,No,1037,Westbound,Straight,9.587,63.572,NULL,3,1,No
2358,122faf550b4e1e658e10a993bf0be1a50205a327,60.97400,Yes,No,1037,Eastbound,Straight,9.587,70.561,NULL,3,1,No
2359,12c36dfcadd571e2f4abade4daa8154b09467b2c,14.57600,No,No,1037,Westbound,Right,9.587,24.163,NULL,3,0,No
2360,12cf46edf72a9c6675dead455268a7327338bdd6,130.20800,No,No,1037,Westbound,Straight,9.587,139.795,NULL,3,1,No
2361,130951560930d0617059e883b8178c630952488f,120.19600,No,No,1037,Westbound,Straight,9.587,129.783,NULL,3,1,No
2362,130cc91f751a2dcef4922f3073eedcde860fd3ad,4.52700,Yes,No,1037,Westbound,Straight,9.587,14.114,NULL,3,0,No
2363,132e1f5825fe720786d9f11c09ea9a92fdea8041,76.96500,NULL,NULL,1037,Northbound,Left,7.456,84.421,NULL,3,1,No
2364,13d6eb00753a0a4c6cf8dad7f2fa5bef0d227d6f,40.05300,NULL,NULL,1037,Northbound,Left,7.456,47.509,NULL,3,1,No
2365,1409b61d8721c73f1fa0630a415474f6d1aa4994,17.34400,Yes,No,1037,Eastbound,Straight,9.587,26.931,NULL,3,1,No
2366,142856a1ffcb3fae17cdaff0416c8099eade2292,0.14100,No,No,1037,Westbound,Straight,9.587,9.728,NULL,3,0,No
2367,146e25a9fbfb1be4ee97b8031aa4278f54402b7e,36.93200,Yes,No,1037,Westbound,Straight,9.587,46.519,NULL,3,1,No
2368,147ab38bca0c05d475d36a843536e1084a3b35e9,7.32200,NULL,NULL,1037,Northbound,Straight,7.456,14.778,NULL,3,0,No
2369,14e1299716064ceb1e6115b17fd9d51407f6b133,209.04600,Yes,No,1037,Northbound,Left,7.456,216.502,NULL,3,1,No
2370,15058ad377fecd1019d0fe14a15bb93459b5a8ca,98.41300,No,No,1037,Westbound,Straight,9.587,108.000,NULL,3,1,No
2371,15225e34cbb91e14b011626681406ce37d8cdd58,55.90600,Yes,No,1037,Northbound,Straight,7.456,63.362,NULL,3,1,No
2372,1529eb3b0022bb9e0a9e70bbdda65642272054f9,32.41400,NULL,NULL,1037,Westbound,Straight,9.587,42.001,NULL,3,1,No
2373,15e416a0baea4d065733b6e51cc52d2ea3c1bba2,6.83900,No,No,1037,Westbound,Straight,9.587,16.426,NULL,3,0,No
2374,15f34a6c132b725e870f68b0c2f0598addcdb7bc,0.00000,No,No,1037,Westbound,Straight,9.587,7.776,NULL,3,0,No
2375,161c1f83b2bba2c28714c8ed456febe6a46cdacd,13.76300,NULL,NULL,1037,Northbound,Right,7.456,21.219,NULL,3,0,No
2376,164a9b0ac7384504c27f2a28894775ae31d9e8e0,136.68300,No,No,1037,Westbound,Straight,9.587,146.270,NULL,3,1,No
2377,16a01a50e2eaf8084ef61adc3d3730596675294a,35.33700,NULL,NULL,1037,Westbound,Straight,9.587,44.924,NULL,3,1,No
2378,172353db6729775f40e77e1d35303dc024074010,128.08600,Yes,No,1037,Westbound,Left,9.587,137.673,NULL,3,1,No
2379,172c646ff9a880ccbdf8ca37e06cf2f26741c0ac,159.55700,No,No,1037,Westbound,Straight,9.587,169.144,NULL,3,1,No
2380,17560b5d38265ca086554e59e7e38e1244bb74a5,8.04500,NULL,NULL,1037,Northbound,Right,7.456,15.501,NULL,3,0,No
2381,1765777fea2fc64f892f82c8b7d5d4a3f80001c4,65.27400,NULL,NULL,1037,Westbound,Straight,9.587,74.861,NULL,3,1,No
2382,1775ebee4cfc83ced1eb718e87fb2dd9e1e3bbc0,59.64700,Yes,No,1037,Westbound,Straight,9.587,69.234,NULL,3,1,No
2383,178c1992721cbb750c9c8a6fd7e57446898c578c,1.57600,No,No,1037,Westbound,Straight,9.587,11.163,NULL,3,0,No
2384,1795a8bdb8462fef2bff55f7404fb7f620ec5df7,38.59700,No,No,1037,Northbound,Right,7.456,46.053,NULL,3,1,No
2385,17d142921a8c810a8e168d4fb3dd21129b10f7af,51.82600,NULL,NULL,1037,Westbound,Straight,9.587,61.413,NULL,3,1,No
2386,17fb97e5798b183a60d47f8683ca5ad976cc7c32,151.46400,No,No,1037,Westbound,Straight,9.587,161.051,NULL,3,2,No
2387,1825db62d63e65438cde67df29f8c52ec2f3b3e6,194.03700,NULL,NULL,1037,Northbound,Straight,7.456,201.493,NULL,3,1,No
2388,18361d50e13df7a590160c20a62d0935704ba802,13.87400,NULL,NULL,1037,Westbound,Left,9.587,23.461,NULL,3,0,No
2389,1888e7fc3151af50599f83b3bfb69eb0f89752c1,0.00000,NULL,NULL,1037,Westbound,Straight,9.587,7.864,NULL,3,0,No
2390,188eaf2e453dce9636cb10c68d180de3b91cfb74,28.37900,NULL,NULL,1037,Westbound,Straight,9.587,37.966,NULL,3,1,No
2391,18ad7e03c3b4d22833fe553962fba6ef7885982c,129.72800,Yes,No,1037,Northbound,Straight,7.456,137.184,NULL,3,1,No
2392,18b1c559e147df66cc9601e12d5fd07f06072ee4,99.23400,Yes,No,1037,Westbound,Straight,9.587,108.821,NULL,3,1,No
2393,18c2754fb415c28b2f41a95b352f6e307ac43630,7.50800,Yes,No,1037,Westbound,Straight,9.587,17.095,NULL,3,0,No
2394,19757d47e8bd5635a76a5941af44a81b4d355ebe,15.07700,Yes,No,1037,Westbound,Straight,9.587,24.664,NULL,3,0,No
2395,19f8ecb1416d123a5c032a7b663510d824db84ad,110.55600,NULL,NULL,1037,Northbound,Left,7.456,118.012,NULL,3,1,No
2396,1a67ab48fd6657981acfda8947d2c5bf5fbc4cb2,0.00000,NULL,NULL,1037,Westbound,Straight,9.587,7.335,NULL,3,0,No
2397,1b09724535058bb69af7b7965b771cef71127b36,123.36500,No,No,1037,Westbound,Straight,9.587,132.952,NULL,3,1,No
2398,1bd90eba944a3fcc0c08cd46cb89260df553a920,50.13400,Yes,No,1037,Westbound,Right,9.587,59.721,NULL,3,1,No
2399,1ca31f698fb7bb6f89e246288cdfcccd0071746f,15.87500,NULL,NULL,1037,Westbound,Straight,9.587,25.462,NULL,3,1,No
2400,1cba578eac3735ab76b9cae0a228dc69cfa55010,5.37700,No,No,1037,Westbound,Straight,9.587,14.964,NULL,3,0,No
2401,1d106061bf8784cb3a568a15f7a54d164d70fa7a,65.99600,Yes,No,1037,Westbound,Straight,9.587,75.583,NULL,3,1,No
2402,1d2e3d6f4a2c36bdf8e3904fb1af576199f9d0a1,42.43900,Yes,No,1037,Westbound,Straight,9.587,52.026,NULL,3,1,No
2403,1d637c5ca0b08d0ae5bf5b998b8c7552b563a212,8.58300,NULL,NULL,1037,Northbound,Right,7.456,16.039,NULL,3,0,No
2404,1da329830fa39c03ec8d9a2264636c0a0db45091,2.69300,No,No,1037,Westbound,Straight,9.587,12.280,NULL,3,0,No
2405,1df30e85a27c66fe904d02f78d5699cd14c1a64b,16.38300,No,No,1037,Westbound,Right,9.587,25.970,NULL,3,1,No
2406,1e7d89ffeb1bdeb3c90012b04cdcdb1df7d74909,106.00800,Yes,No,1037,Westbound,Straight,9.587,115.595,NULL,3,1,No
2407,1ea55ee1f6db8aa0d9f6361a6948011d0f424def,0.00000,No,No,1037,Northbound,Straight,7.456,6.020,NULL,3,0,No
2408,1ecc6e22f7e9df6c268ff39600dd7b3fb5ebbb2b,8.95200,No,No,1037,Westbound,Straight,9.587,18.539,NULL,3,0,No
2409,1ee0a54d5f922f19109e4c38ca5b49e796ac13b6,0.00000,NULL,NULL,1037,Westbound,Straight,9.587,9.465,NULL,3,0,No
2410,1f040a31d3d8f015c114ccd32c8e631d5e683f5a,0.68200,No,No,1037,Westbound,Straight,9.587,10.269,NULL,3,0,No
