ID,vehID,Delay,RedArrival,SplitFailure,SignalID,ApproachDirection,TravelDirection,ETT,TravelTime,ExitStatus,Day
18950,40213e1b55eb32c2da6b27a5deda381e4904149d,72.68900,Yes,No,3084,Northbound,Straight,7.456,80.145,NULL,23
18951,403125f90a4639da350186666efcd33ca20660ee,0.00000,Yes,No,3084,Westbound,Left,9.587,8.704,NULL,23
18952,407fe6d33af76aff20ce77e9f7d895672823da57,2.50600,Yes,No,3084,Southbound,Straight,9.587,12.093,NULL,23
18953,4096c5c1324d5ea89ee623bf89b3193bac5e5335,10.06100,Yes,No,3084,Northbound,Right,7.456,17.517,NULL,23
18954,40e813e23761a24a304f28d49c2eb7c3f65312e4,5.94900,Yes,No,3084,Westbound,Straight,9.587,15.536,NULL,23
18955,40f2d7ddae54b69ad5560ae7975075180b4daee4,49.30400,Yes,No,3084,Westbound,Left,9.587,58.891,NULL,23
18956,4114a07976f834b5c848880a6323ed335f2a221f,85.54900,Yes,No,3084,Westbound,Straight,9.587,95.136,NULL,23
18957,414acda5e8640685529febc7fad0f4d3c0117b09,2.58600,Yes,No,3084,Westbound,Straight,9.587,12.173,NULL,23
18958,415fee2fd4d1dd2ff428199b3db37ac4ef8e6542,109.31500,Yes,No,3084,Westbound,Straight,9.587,118.902,NULL,23
18959,41683babc03894b40f0b560b744b87e011bd073e,67.23800,Yes,No,3084,Northbound,Straight,7.456,74.694,NULL,23
18960,41a4cb83ef7493f435cf0bb7acffe2e2f28207f6,4.82200,Yes,No,3084,Southbound,Straight,9.587,14.409,NULL,23
18961,41ac6ade8125d5c3a83931617b328828392bd850,129.27700,Yes,No,3084,Eastbound,Right,9.587,138.864,NULL,23
18962,41c1295f4a32b784b2fcb2aceb8a92fdea41fb8e,8.80300,No,No,3084,Westbound,Straight,9.587,18.390,NULL,23
18963,41cc1eb9a7aae8da32ed09be17d5497e58ff023c,100.36500,Yes,Yes,3084,Westbound,Straight,9.587,109.952,NULL,23
18964,41f914320697b84942c0ca18424cf47e0fa6eefa,95.78300,Yes,No,3084,Westbound,Straight,9.587,105.370,NULL,23
18965,425860a07aa0b99ffc5ac1e9bf9b8a140eadbd63,106.89100,No,No,3084,Eastbound,Straight,9.587,116.478,NULL,23
18966,425bb017d66c122a4ddd22748632dd2e7d959196,107.02500,Yes,No,3084,Westbound,Right,9.587,116.612,NULL,23
18967,42869a1edff7640c7af25f247bfb74089f6e6d8e,114.31500,No,No,3084,Northbound,Straight,7.456,121.771,NULL,23
18968,4287d8a1a1bde0a31a425d103832f23663f4f1cb,90.95900,Yes,No,3084,Northbound,Straight,7.456,98.415,NULL,23
18969,42f683456004abc08eaf036b83f87e21d98e8fdc,0.25800,No,No,3084,Westbound,Straight,9.587,9.845,NULL,23
18970,430340f21e5308764b753da66088e2d795ceac9d,88.25000,Yes,No,3084,Southbound,Straight,9.587,97.837,NULL,23
18971,4327496d8beae6932823ad877651c68617137103,7.63300,No,No,3084,Westbound,Straight,9.587,17.220,NULL,23
18972,43632c4b3aa4f4eebb84b771bad6f78c95a822fb,0.00000,Yes,No,3084,Southbound,Straight,9.587,8.912,NULL,23
